Hotel Title,Hotel Address,Distance to City Center,Hotel Rating,Price
The BoTree - Preferred Hotels and Resorts,"Westminster Borough, London",1.7 km from centre,9.2Scored 9.2 Superb 411 reviews,16350.00 TL
Central London Apartment - Great Location,"Westminster Borough, London",1.3 km from centre,9.1Scored 9.1 Superb 727 reviews,5040.00 TL
Knightsbridge Residences by Dena Elite Collection,"Kensington and Chelsea, London",2.7 km from centre,9.1Scored 9.1 Superb 125 reviews,12690.00 TL
Royal Lancaster London,"Westminster Borough, London",3.3 km from centre,"9.0Scored 9.0 Superb 5,779 reviews",12510.00 TL
The Londoner,"Westminster Borough, London",350 m from centre,"9.0Scored 9.0 Superb 4,912 reviews",18630.00 TL
The Landmark London,"Westminster Borough, London",2.9 km from centre,"8.9Scored 8.9 Fabulous 4,840 reviews",17730.00 TL
Sun Street Hotel Shoreditch,"Hackney, London",3.3 km from centre,8.9Scored 8.9 Fabulous 786 reviews,11160.00 TL
Conrad London St James,"Westminster Borough, London",1 km from centre,8.8Scored 8.8 Fabulous 997 reviews,10320.00 TL
Sea Containers London,"Southwark, London",1.5 km from centre,"8.8Scored 8.8 Fabulous 9,463 reviews",11280.00 TL
"Montcalm East, Autograph Collection","Hackney, London",3.5 km from centre,"8.7Scored 8.7 Fabulous 4,294 reviews",8370.00 TL
"The Gantry London, Curio Collection By Hilton","Newham, London",9.4 km from centre,"8.7Scored 8.7 Fabulous 3,360 reviews",8010.00 TL
One Hundred Shoreditch,"Hackney, London",4 km from centre,"8.7Scored 8.7 Fabulous 5,696 reviews",11760.00 TL
Flemings Mayfair - Small Luxury Hotel of the World,"Westminster Borough, London",1.2 km from centre,8.7Scored 8.7 Fabulous 740 reviews,15540.00 TL
Nobu Hotel London Portman Square,"Westminster Borough, London",2.3 km from centre,"8.6Scored 8.6 Fabulous 1,679 reviews",17640.00 TL
Rubens At The Palace,"Westminster Borough, London",1.5 km from centre,"8.6Scored 8.6 Fabulous 4,571 reviews",15240.00 TL
Nobu Hotel London Shoreditch,"Hackney, London",3.7 km from centre,"8.5Scored 8.5 Very good 1,423 reviews",9690.00 TL
ME London by Melia - Covent Garden,"Westminster Borough, London",0.8 km from centre,"8.5Scored 8.5 Very good 1,635 reviews",17850.00 TL
NYX Hotel London Holborn by Leonardo Hotels,"Camden, London",1.4 km from centre,"8.4Scored 8.4 Very good 9,740 reviews",10410.00 TL
Canary Riverside Plaza Hotel,"Tower Hamlets, London",6.9 km from centre,8.4Scored 8.4 Very good 902 reviews,11010.00 TL
Hyatt Regency London Blackfriars,"City of London, London",1.7 km from centre,8.4Scored 8.4 Very good 163 reviews,8880.00 TL
"Radisson Blu Edwardian Hampshire Hotel, London","Westminster Borough, London",300 m from centre,"8.3Scored 8.3 Very good 4,266 reviews",10980.00 TL
"Montcalm Royal London House, London City","Islington, London",3.3 km from centre,"8.3Scored 8.3 Very good 10,545 reviews",12450.00 TL
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London",1.1 km from centre,"8.1Scored 8.1 Very good 5,190 reviews",16410.00 TL
Jumeirah Lowndes London,"Kensington and Chelsea, London",2.3 km from centre,8.0Scored 8.0 Very good 514 reviews,13770.00 TL
Montcalm Brewery Townhouse,"Islington, London",2.9 km from centre,"7.6Scored 7.6 Good 4,551 reviews",9420.00 TL
